,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
48,0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,
148,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,2.3837299346923833,
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063
151,0.491,SEN,SubSaharian,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,
41,0.42500001,COD,SubSaharian,324.16,,7.0999999046325675,2.9574468135833736,2.245349884033203,
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.9813001155853267,59.67913055419922
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.300000190734863,3.0581588745117188,4.178609848022462,92.20523071289064
45,0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239503,94.71498107910156
42,0.77499998,CRI,LatAm,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,7.5999999046325675,,3.882889986038208,83.38211059570312
138,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295
91,0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,6.800000190734862,2.39393949508667,4.3206801414489755,44.96981811523438
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,3.7000000476837163,3.4221570491790767,4.766260147094727,87.16455078125
73,0.62300003,HND,LatAm,3303.1399,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844
193,0.57599998,ZMB,SubSaharian,1916.79,,7.800000190734862,4.3288354873657235,,
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,7.300000190734862,,4.868460178375244,
145,0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,3.5999999046325684,4.25305986404419,,
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,3.2999999523162837,3.28902006149292,4.6593499183654785,92.19537353515624
107,0.85299999,MLT,WesternDem,24094.641,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562
54,0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,7.0,3.5992515087127686,4.500510215759277,30.274250030517578
139,0.42100000000000004,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
136,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,6.199999809265138,4.54694414138794,,67.44245910644531
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,3.0,2.983357429504395,5.3254899978637695,88.24600219726562
179,,TUV,Pacific,3174.05,0.0109999999403954,,,,69.80497741699219
39,0.498,COM,SubSaharian,972.35999,0.7760000228881836,7.800000190734862,,4.868619918823242,43.934471130371094
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,8.100000381469728,2.655974626541138,,
159,,SOM,SubSaharian,1436.74,,9.199999809265137,,,
69,0.63700002,GTM,LatAm,4438.0,,6.699999809265138,2.693367958068848,2.9417400360107417,46.71841812133789
158,0.88800001,SVN,EastEurope,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344
184,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078
132,0.78500003,PAN,LatAm,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
109,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
21,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484
143,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,4.5,3.4765191078186035,3.8613300323486333,
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734862,4.464125156402588,3.278609991073608,75.01837158203125
156,0.84200001,SVK,EastEurope,21776.34,5.415999889373778,4.199999809265137,2.762844562530518,4.238560199737549,
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
50,0.71799999,DOM,LatAm,10376.63,,7.5999999046325675,2.636394500732422,,65.45761108398439
170,0.625,TJK,EastEurope,3592.6499,8.131999969482424,6.300000190734862,3.8404254913330083,5.232150077819824,83.22482299804688
62,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
113,0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281
44,0.773,CUB,LatAm,5899.9399,,5.699999809265138,,,87.48567199707031
